epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.5193,1.10649,0.58629,1,1.22168,0.000235356,0.000235356,0.000235356
2,79.9394,0.45217,0.71827,1,1.03306,0.000467498,0.000467498,0.000467498
3,118.496,0.32651,0.7665,1,1.00628,0.00069375,0.00069375,0.00069375
4,156.753,0.25405,0.74873,1,0.99093,0.000687493,0.000687493,0.000687493
5,193.421,0.21611,0.78426,1,0.96387,0.000678657,0.000678657,0.000678657
6,231.874,0.19542,0.79949,1,0.95417,0.000669821,0.000669821,0.000669821
7,271.15,0.1827,0.79949,1,0.93896,0.000660986,0.000660986,0.000660986
8,309.898,0.15868,0.79695,1,0.93541,0.00065215,0.00065215,0.00065215
9,351.126,0.13071,0.81726,1,0.91274,0.000643314,0.000643314,0.000643314
10,391.442,0.16005,0.79949,1,0.94831,0.000634478,0.000634478,0.000634478
11,432.615,0.10804,0.79695,1,0.92808,0.000625642,0.000625642,0.000625642
12,471.71,0.11084,0.79949,1,0.94699,0.000616807,0.000616807,0.000616807
13,509.825,0.11838,0.80964,1,0.92529,0.000607971,0.000607971,0.000607971
14,549.193,0.12242,0.80457,1,0.93248,0.000599135,0.000599135,0.000599135
15,588.622,0.10303,0.80964,1,0.93862,0.0005903,0.0005903,0.0005903
16,626.17,0.09852,0.81472,1,0.93066,0.000581464,0.000581464,0.000581464
17,663.704,0.09142,0.78173,1,0.95815,0.000572628,0.000572628,0.000572628
18,709.382,0.09827,0.80457,1,0.92278,0.000563792,0.000563792,0.000563792
19,748.125,0.0751,0.80457,1,0.96882,0.000554956,0.000554956,0.000554956
20,785.559,0.08587,0.80203,1,0.9278,0.000546121,0.000546121,0.000546121
21,822.932,0.08192,0.81726,1,0.92697,0.000537285,0.000537285,0.000537285
22,860.536,0.08582,0.80964,1,0.90416,0.000528449,0.000528449,0.000528449
23,900.192,0.08915,0.7868,1,0.98242,0.000519613,0.000519613,0.000519613
24,937.066,0.06902,0.80203,1,0.94978,0.000510778,0.000510778,0.000510778
25,974.286,0.0685,0.80203,1,0.92153,0.000501942,0.000501942,0.000501942
26,1010.87,0.07907,0.81726,1,0.94238,0.000493106,0.000493106,0.000493106
27,1057.17,0.07365,0.82487,1,0.91936,0.000484271,0.000484271,0.000484271
28,1094.1,0.06757,0.84264,1,0.90848,0.000475435,0.000475435,0.000475435
29,1131.04,0.06987,0.82487,1,0.91071,0.000466599,0.000466599,0.000466599
30,1168.98,0.05429,0.8198,1,0.9135,0.000457763,0.000457763,0.000457763
31,1209.01,0.04437,0.81472,1,0.90618,0.000448928,0.000448928,0.000448928
32,1246.43,0.07274,0.82487,1,0.9112,0.000440092,0.000440092,0.000440092
33,1283.36,0.0537,0.82995,1,0.88728,0.000431256,0.000431256,0.000431256
34,1320.27,0.06034,0.8198,1,0.93234,0.00042242,0.00042242,0.00042242
35,1358.71,0.06064,0.81218,1,0.9239,0.000413584,0.000413584,0.000413584
36,1403.06,0.06106,0.83249,1,0.90388,0.000404749,0.000404749,0.000404749
37,1439.03,0.05681,0.83503,1,0.92132,0.000395913,0.000395913,0.000395913
38,1476.73,0.05227,0.8401,1,0.89914,0.000387077,0.000387077,0.000387077
39,1515.74,0.04658,0.83503,1,0.90492,0.000378242,0.000378242,0.000378242
40,1553.32,0.04685,0.8401,1,0.90465,0.000369406,0.000369406,0.000369406
41,1590.24,0.04636,0.8401,1,0.91371,0.00036057,0.00036057,0.00036057
42,1628.01,0.05257,0.8401,1,0.91246,0.000351734,0.000351734,0.000351734
43,1667.37,0.04494,0.85025,1,0.90381,0.000342899,0.000342899,0.000342899
44,1704.65,0.05832,0.82487,1,0.89621,0.000334063,0.000334063,0.000334063
45,1741.93,0.0523,0.83756,1,0.8877,0.000325227,0.000325227,0.000325227
46,1787.57,0.05458,0.83249,1,0.92815,0.000316391,0.000316391,0.000316391
47,1824.58,0.04226,0.84772,1,0.89453,0.000307555,0.000307555,0.000307555
48,1861.35,0.04731,0.83249,1,0.8863,0.00029872,0.00029872,0.00029872
