epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6572,1.4729,4.00805,1.28705,0.0024,0.66522,0.18629,0.09845,1.2041,3.56209,1.07969,0.000541419,0.000541419,0.000541419
2,39.8869,1.21729,2.78389,1.14046,0.41438,0.45837,0.34672,0.22425,1.21639,2.5552,1.16706,0.000988474,0.000988474,0.000988474
3,55.0173,1.18671,2.48944,1.11643,0.45653,0.69656,0.46976,0.29232,1.26665,1.9798,1.19263,0.00132551,0.00132551,0.00132551
4,68.2158,1.17521,2.23552,1.14614,0.41584,0.78118,0.44976,0.2852,1.18711,1.82358,1.13059,0.0011719,0.0011719,0.0011719
5,81.0555,1.15632,1.97298,1.11386,0.43713,0.76484,0.47944,0.3076,1.17012,1.67118,1.13994,0.00100687,0.00100687,0.00100687
6,95.8685,1.09546,1.79799,1.08983,0.46609,0.82411,0.50908,0.3304,1.12462,1.32922,1.08506,0.000841835,0.000841835,0.000841835
7,110.639,1.02253,1.63207,1.04646,0.46277,0.87272,0.51035,0.33611,1.171,1.28924,1.09835,0.000676802,0.000676802,0.000676802
8,125.513,1.05261,1.55008,1.06135,0.47358,0.86872,0.51741,0.34058,1.1577,1.23831,1.10151,0.000511769,0.000511769,0.000511769
9,139.086,0.96214,1.44641,1.0066,0.48076,0.85281,0.53678,0.35906,1.13144,1.14904,1.07484,0.000346736,0.000346736,0.000346736
10,151.826,0.94966,1.4047,1.02674,0.47608,0.89745,0.54865,0.37866,1.04049,1.10951,1.03943,0.000181703,0.000181703,0.000181703
