epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,41.1073,0.72012,0.62944,1,1.38972,0.0686852,0.00164815,0.00164815
2,79.38,0.49276,0.61929,1,1.27846,0.0369857,0.003282,0.003282
3,119.886,0.47393,0.64975,1,1.57338,0.00525322,0.00488285,0.00488285
4,160.595,0.45141,0.63959,1,1.44709,0.0048515,0.0048515,0.0048515
5,198.227,0.40327,0.56345,1,2.57059,0.004802,0.004802,0.004802
6,237.054,0.38721,0.67513,1,1.29339,0.0047525,0.0047525,0.0047525
7,281.243,0.372,0.7132,1,1.01765,0.004703,0.004703,0.004703
8,319.073,0.2953,0.6599,1,1.72726,0.0046535,0.0046535,0.0046535
9,358.91,0.29584,0.75888,1,0.92937,0.004604,0.004604,0.004604
10,398.571,0.28496,0.77411,1,1.07645,0.0045545,0.0045545,0.0045545
11,437.456,0.22671,0.71066,1,1.15318,0.004505,0.004505,0.004505
12,476.392,0.24205,0.69036,1,1.49805,0.0044555,0.0044555,0.0044555
13,518.799,0.25054,0.77665,1,1.08008,0.004406,0.004406,0.004406
14,560.527,0.2692,0.71827,1,1.66462,0.0043565,0.0043565,0.0043565
15,599.105,0.22603,0.69036,1,1.19615,0.004307,0.004307,0.004307
16,639.072,0.2197,0.73096,1,1.27832,0.0042575,0.0042575,0.0042575
17,678.215,0.19741,0.53553,1,2.70368,0.004208,0.004208,0.004208
18,715.887,0.20829,0.7868,1,1.06703,0.0041585,0.0041585,0.0041585
19,760.514,0.17457,0.67766,1,2.24233,0.004109,0.004109,0.004109
20,798.792,0.20435,0.80711,1,0.88058,0.0040595,0.0040595,0.0040595
21,838.38,0.16947,0.78934,1,1.09211,0.00401,0.00401,0.00401
22,878.708,0.15722,0.74365,1,1.34297,0.0039605,0.0039605,0.0039605
23,918.369,0.18419,0.76396,1,1.09675,0.003911,0.003911,0.003911
24,957.268,0.16549,0.76396,1,1.25991,0.0038615,0.0038615,0.0038615
25,1000.9,0.16816,0.7868,1,1.12612,0.003812,0.003812,0.003812
26,1039.83,0.17315,0.78426,1,1.28167,0.0037625,0.0037625,0.0037625
27,1078.24,0.16408,0.75127,1,1.20654,0.003713,0.003713,0.003713
28,1116.26,0.16884,0.79442,1,1.38051,0.0036635,0.0036635,0.0036635
29,1155.69,0.15414,0.79188,1,1.19971,0.003614,0.003614,0.003614
30,1199.09,0.1458,0.77919,1,1.28697,0.0035645,0.0035645,0.0035645
31,1240.25,0.12918,0.77665,1,1.1136,0.003515,0.003515,0.003515
32,1279.59,0.12182,0.7665,1,1.42285,0.0034655,0.0034655,0.0034655
33,1318.4,0.11855,0.77919,1,1.24241,0.003416,0.003416,0.003416
34,1356.11,0.13604,0.81472,1,1.18304,0.0033665,0.0033665,0.0033665
35,1394.48,0.1252,0.79949,1,0.99121,0.003317,0.003317,0.003317
36,1435.66,0.12815,0.79949,1,1.42006,0.0032675,0.0032675,0.0032675
37,1476.68,0.11917,0.74873,1,1.9615,0.003218,0.003218,0.003218
38,1516.91,0.11624,0.81218,1,1.37751,0.0031685,0.0031685,0.0031685
39,1556.13,0.13024,0.77919,1,1.2191,0.003119,0.003119,0.003119
40,1594.74,0.1488,0.79442,1,1.29436,0.0030695,0.0030695,0.0030695
41,1634.3,0.10547,0.83503,1,0.97831,0.00302,0.00302,0.00302
42,1679.43,0.09854,0.80711,1,1.52916,0.0029705,0.0029705,0.0029705
43,1719.16,0.10271,0.82487,1,1.29576,0.002921,0.002921,0.002921
44,1758.81,0.11041,0.78173,1,1.32052,0.0028715,0.0028715,0.0028715
45,1796.79,0.12311,0.82741,1,0.96297,0.002822,0.002822,0.002822
46,1834.92,0.11163,0.8198,1,1.22447,0.0027725,0.0027725,0.0027725
